"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          78,      -4.627226494,      -1.846559102,      -1.691541231,      0.8860675177
          0,           0,          79,      -4.663463526,      -1.883539879,      -1.728885478,      0.8492117205
          0,           0,          80,      -4.697632199,      -1.918913022,      -1.765814182,       0.814517796
          0,           0,          81,      -4.729712573,      -1.952474023,      -1.802064945,      0.7820230573
          0,           0,          82,      -4.759751321,      -1.984086017,      -1.837367073,      0.7516897388
          0,           0,          83,      -4.787840952,      -2.013694658,      -1.871459159,      0.7234250182
          0,           0,          84,      -4.814103836,      -2.041331951,      -1.904099467,      0.6970973562
          0,           0,          85,      -4.838699212,      -2.067113107,      -1.935093639,      0.6725332393
          0,           0,          86,      -4.861803233,      -2.091219931,      -1.964311664,      0.6495392677
          0,           0,          87,      -4.883593942,      -2.113876862,       -1.99169387,      0.6279191856
          0,           0,          88,      -4.904241739,      -2.135330303,      -2.017254872,       0.607485305
          0,           0,          89,      -4.923909522,      -2.155826499,      -2.041081615,      0.5880597873
          0,           0,          90,      -4.942751747,      -2.175592503,       -2.06332357,      0.5694761378
          0,           0,          91,      -4.960911467,      -2.194834728,      -2.084175535,      0.5515820835
          0,           0,          92,      -4.978520694,      -2.213725974,      -2.103855817,      0.5342388937
          0,           0,          93,      -4.995701956,      -2.232406693,      -2.122599393,      0.5173197961
          0,           0,          94,      -5.012568476,       -2.25098728,      -2.140634465,      0.5007088964
          0,           0,          95,      -5.029222034,      -2.269553155,      -2.158172153,       0.484302934
          0,           0,          96,       -5.04575597,      -2.288167096,       -2.17540016,       0.468007934
          0,           0,          97,       -5.06225404,      -2.306875369,      -2.192480048,      0.4517401295
          0,           0,          98,       -5.07879203,      -2.325711026,       -2.20954744,      0.4354241124
          0,           0,          99,      -5.095435036,      -2.344697328,      -2.226712005,       0.418995159
          0,           0,         100,      -5.112242404,      -2.363850395,      -2.244061062,      0.4023943987
          0,           0,         101,      -5.129263919,      -2.383182572,      -2.261662204,      0.3855725514
          0,           0,         102,      -5.146539691,      -2.402702452,      -2.279564771,      0.3684898752
          0,           0,         103,      -5.164101193,      -2.422416346,      -2.297802356,      0.3511151245
          0,           0,         104,      -5.181971461,      -2.442329134,       -2.31639582,      0.3334253398
          0,           0,         105,      -5.200166148,      -2.462445123,      -2.335355924,      0.3154048692
          0,           0,         106,      -5.218693305,      -2.482766865,      -2.354684639,      0.2970456013
          0,           0,         107,      -5.237554916,      -2.503295606,      -2.374376888,      0.2783454384
          0,           0,         108,       -5.25674683,      -2.524031443,      -2.394421687,      0.2593083384
          0,           0,         109,       -5.27626077,      -2.544973128,      -2.414803597,      0.2399424063
          0,           0,         110,      -5.296084173,      -2.566118282,      -2.435503734,      0.2202600312
          0,           0,         111,      -5.316201352,      -2.587463043,      -2.456500709,      0.2002767373
          0,           0,         112,      -5.336594419,       -2.60900229,      -2.477771438,      0.1800102946
          0,           0,         113,      -5.357244262,       -2.63072977,      -2.499292145,      0.1594797806
          0,           0,         114,      -5.378131262,       -2.65263819,      -2.521039022,      0.1387048454
          0,           0,         115,      -5.399235922,      -2.674719465,      -2.542988794,      0.1177050991
          0,           0,         116,      -5.420539438,      -2.696964962,        -2.5651193,      0.0964995331
          0,           0,         117,      -5.442024192,      -2.719365749,      -2.587409959,     0.07510603659
          0,           0,         118,      -5.463674139,      -2.741912844,      -2.609842165,     0.05354099748
          0,           0,         119,      -5.485475118,      -2.764597473,      -2.632399592,     0.03181898972
          0,           0,         120,      -5.507415041,      -2.787411288,      -2.655068385,    0.009952567137
          0,           0,         121,      -5.529483992,      -2.810346575,      -2.677837262,    -0.01204784668
          0,           0,         122,      -5.551674237,      -2.833396413,      -2.700697518,    -0.03417398606
          0,           0,         123,      -5.573980158,      -2.856554797,      -2.723642942,    -0.05641969196
          0,           0,         124,      -5.596398117,      -2.879816736,       -2.74666967,    -0.07878079865
          0,           0,         125,      -5.618926284,      -2.903178284,      -2.769775967,     -0.1012549616
          0,           0,         126,       -5.64156439,      -2.926636556,      -2.792961971,     -0.1238414388
          0,           0,         127,      -5.664313494,      -2.950189698,      -2.816229406,     -0.1465408587
          0,           0,         128,      -5.687175701,      -2.973836818,      -2.839581278,     -0.1693549459
          0,           0,         129,      -5.710153904,      -2.997577899,      -2.863021566,      -0.192286271
          0,           0,         130,      -5.733251512,      -3.021413692,       -2.88655493,     -0.2153379786
          0,           0,         131,      -5.756472209,       -3.04534558,      -2.910186426,     -0.2385135464
          0,           0,         132,      -5.779819723,      -3.069375444,      -2.933921245,      -0.261816555
          0,           0,         133,      -5.803297632,      -3.093505522,      -2.957764498,     -0.2852504813
          0,           0,         134,      -5.826909187,      -3.117738264,      -2.981721011,     -0.3088185312
          0,           0,         135,      -5.850657173,      -3.142076195,      -3.005795166,     -0.3325234807
          0,           0,         136,      -5.874543824,      -3.166521796,       -3.02999078,     -0.3563675909
          0,           0,         137,      -5.898570706,       -3.19107738,      -3.054311004,     -0.3803524849
          0,           0,         138,      -5.922738717,      -3.215745005,      -3.078758268,     -0.4044791345
          0,           0,         139,      -5.947048031,      -3.240526383,      -3.103334242,     -0.4287478055
          0,           0,         140,      -5.971498137,      -3.265422827,      -3.128039839,     -0.4531580883
          0,           0,         141,      -5.996087848,      -3.290435199,      -3.152875222,     -0.4777088963
          0,           0,         142,      -6.020815368,      -3.315563895,      -3.177839856,     -0.5023985291
          0,           0,         143,      -6.045678349,       -3.34080883,      -3.202932555,     -0.5272247275
          0,           0,         144,      -6.070673964,       -3.36616945,      -3.228151551,     -0.5521847433
          0,           0,         145,      -6.095798996,      -3.391644756,      -3.253494582,     -0.5772754234
          0,           0,         146,      -6.121049947,      -3.417233342,      -3.278958961,     -0.6024933185
          0,           0,         147,      -6.146423086,      -3.442933429,       -3.30454169,     -0.6278347243
          0,           0,         148,      -6.171914578,      -3.468742941,      -3.330239527,     -0.6532958183
          0,           0,         149,      -6.197520562,       -3.49465954,      -3.356049087,      -0.678872734
          0,           0,         150,      -6.223237215,      -3.520680706,      -3.381966921,      -0.704561618
          0,           0,         151,      -6.249060831,      -3.546803791,       -3.40798959,     -0.7303587341
          0,           0,         152,      -6.274987873,      -3.573026079,       -3.43411374,     -0.7562604933
          0,           0,         153,      -6.301015024,      -3.599344841,      -3.460336149,     -0.7822635121
          0,           0,         154,      -6.327139228,      -3.625757401,      -3.486653786,     -0.8083646636
          0,           0,         155,      -6.353357714,      -3.652261166,      -3.513063837,     -0.8345611021
          0,           0,         156,      -6.379667999,      -3.678853672,      -3.539563741,     -0.8608502617
          0,           0,         157,      -6.406067888,      -3.705532613,      -3.566151197,     -0.8872298656
          0,           0,         158,      -6.432555489,      -3.732295851,      -3.592824159,     -0.9136979363
          0,           0,         159,      -6.459129155,      -3.759141462,      -3.619580862,     -0.9402527578
          0,           0,         160,      -6.485787553,      -3.786067716,      -3.646419782,     -0.9668929131
          0,           0,         161,      -6.512529487,      -3.813073069,      -3.673339626,     -0.9936171459
          0,           0,         162,      -6.539354004,      -3.840156186,      -3.700339317,      -1.020424439
          0,           0,         163,      -6.566260321,       -3.86731591,      -3.727417957,      -1.047313954
          0,           0,         164,      -6.593247741,      -3.894551239,      -3.754574807,      -1.074284955
          0,           0,         165,      -6.620315691,      -3.921861345,      -3.781809246,      -1.101336835
          0,           0,         166,      -6.647463689,      -3.949245495,      -3.809120752,      -1.128469067
          0,           0,         167,      -6.674691196,      -3.976703062,      -3.836508884,      -1.155681104
          0,           0,         168,      -6.701997812,      -4.004233514,      -3.863973209,      -1.182972519
          0,           0,         169,      -6.729383045,      -4.031836376,      -3.891513353,      -1.210342819
          0,           0,         170,      -6.756846395,      -4.059511201,      -3.919128923,      -1.237791504
          0,           0,         171,      -6.784387354,      -4.087257561,        -3.9468195,      -1.265318042
          0,           0,         172,      -6.812005369,      -4.115075053,      -3.974584658,      -1.292921896
          0,           0,         173,      -6.839699763,      -4.142963241,      -4.002423911,      -1.320602404
          0,           0,         174,      -6.867469966,      -4.170921685,      -4.030336751,      -1.348358968
          0,           0,         175,      -6.895315222,      -4.198949929,      -4.058322609,      -1.376190853
          0,           0,         176,      -6.923234719,      -4.227047443,      -4.086380861,      -1.404097277
          0,           0,         177,      -6.951227784,      -4.255213712,      -4.114510863,      -1.432077526
          0,           0,         178,      -6.979293489,      -4.283448175,      -4.142711915,      -1.460130698
          0,           0,         179,      -7.007431066,      -4.311750239,      -4.170983287,      -1.488256025
          0,           0,         180,      -7.035639589,      -4.340119236,      -4.199324214,      -1.516452587
          0,           0,         181,      -7.063918263,      -4.368554563,      -4.227733939,      -1.544719566
          0,           0,         182,      -7.092266138,      -4.397055483,       -4.25621165,      -1.573056036
          0,           0,         183,      -7.120682457,      -4.425621377,      -4.284756571,      -1.601461211
          0,           0,         184,      -7.149166347,      -4.454251506,      -4.313367896,      -1.629934229
          0,           0,         185,      -7.177716968,      -4.482945196,      -4.342044849,      -1.658474227
          0,           0,         186,      -7.206333538,      -4.511701712,      -4.370786692,      -1.687080441
          0,           0,         187,      -7.235015402,      -4.540520434,      -4.399592627,      -1.715752152
          0,           0,         188,      -7.263761684,      -4.569400627,      -4.428461943,      -1.744488525
          0,           0,         189,        -7.2925718,      -4.598341656,      -4.457393969,      -1.773288951
          0,           0,         190,      -7.321444978,      -4.627342913,      -4.486388006,      -1.802152662
          0,           0,         191,       -7.35038082,      -4.656403771,      -4.515443496,      -1.831079197
          0,           0,         192,      -7.379378501,      -4.685523619,      -4.544559722,      -1.860067772
          0,           0,         193,      -7.408437656,      -4.714701959,      -4.573736177,      -1.889117981
          0,           0,         194,      -7.437557609,      -4.743938192,      -4.602972329,      -1.918229185
          0,           0,         195,       -7.46673788,      -4.773231791,       -4.63226757,      -1.947400857
          0,           0,         196,      -7.495977974,      -4.802582332,      -4.661621463,       -1.97663248
          0,           0,         197,      -7.525277596,      -4.831989392,      -4.691033608,      -2.005923804
          0,           0,         198,      -7.554636149,      -4.861452448,      -4.720503388,      -2.035274189
          0,           0,         199,      -7.584053067,      -4.890971153,      -4.750030557,      -2.064683046
          0,           0,         200,      -7.613528364,      -4.920545024,      -4.779614556,      -2.094150417
          0,           0,         201,      -7.643061119,      -4.950173705,      -4.809255047,      -2.123675403
          0,           0,         202,      -7.672651315,      -4.979856789,      -4.838951527,      -2.153257864
          0,           0,         203,      -7.702298294,      -5.009594062,      -4.868703695,      -2.182897246
          0,           0,         204,      -7.732001763,      -5.039385028,      -4.898511175,      -2.212593288
          0,           0,         205,      -7.761761233,      -5.069229334,      -4.928373536,      -2.242345427
          0,           0,         206,       -7.79157649,      -5.099126831,      -4.958290442,       -2.27215345
          0,           0,         207,      -7.821446848,      -5.129076834,      -4.988261335,      -2.302016652
          0,           0,         208,      -7.851372216,       -5.15907922,      -5.018286093,      -2.331935048
          0,           0,         209,      -7.881351665,      -5.189133591,      -5.048364185,      -2.361907655
          0,           0,         210,      -7.911385442,      -5.219239636,      -5.078495109,      -2.391934593
          0,           0,         211,      -7.941472692,      -5.249397125,      -5.108678719,      -2.422015057
          0,           0,         212,      -7.971613283,      -5.279605591,      -5.138914513,      -2.452149041
          0,           0,         213,      -8.001806453,      -5.309864571,      -5.169201888,      -2.482335729
